user_age_group,user_id,attempt_date,gender,smt_rank,smt_avg_spd,smt_finish_seconds,smt_name,user_weight_category,act_title,act_avg_spd,act_max_spd,act_total_km,act_moving_seconds,act_total_seconds,has_hr_data,id
25 to 34,403,2019-12-23,male,190,26.1,652,King Street side,54 kg and under,Evening Ride,21.5,37.8,44.53,7464,7464,0,2171
25 to 34,1317,2017-09-05,male,499,20.4,296,Headquarters Business Park,85 to 95 kg,Ride together with bj,15.9,43.6,52.67,11929,11929,0,6763
25 to 34,1848,2019-03-18,male,434,21.4,282,Headquarters Business Park,54 kg and under,"جو لطيف وتمرين خفيف winking face ""عالواجهة البحرية""",20.2,39.6,15.41,2744,2744,0,6701
25 to 34,388,2019-07-24,male,246,24.3,580,Starbucks to Majid,,Team 25,20.7,38.9,58.33,10155,10155,0,398
25 to 34,232,2020-01-15,male,28,38.5,442,King Street side,75 to 84 kg,Lunch Ride,33.6,69.1,43.96,4711,4711,1,2010
35 to 44,1257,2018-07-17,male,423,17.2,350,Headquarters Business Park,54 kg and under,Evening Ride,22.6,97.6,20.03,3185,3185,0,7549
35 to 44,666,2019-11-25,male,20,36.1,882,S.Ubhur Alkurnaysh South Bound with detour,115 kg and over,Evening Ride,33.4,42.8,40.37,4346,4346,0,1283
35 to 44,774,2019-11-04,male,192,29.5,588,North Corniche,75 to 84 kg,Evening Ride,18.5,38.9,24.98,4872,4872,0,5548
45 to 54,949,2019-04-01,male,3,45.4,382,North Corniche,75 to 84 kg,Monday night Crit.....schooled by a bunch of Arab kids and one strong as Russia Englishman!!! face with tears of joy ,33.9,78.5,41.47,4403,4403,1,5752
35 to 44,647,2020-03-12,male,284,26.1,275,Oghor 2 SailsIsland,65 to 74 kg,Jeddah Thu AM easy,30.7,46.4,68.93,8087,8087,0,4256
35 to 44,739,2019-05-24,male,56,21.6,1264,Al Fardoos to shellfish round about,55 to 64 kg,Ciclismo por la mañana,21.0,25.6,55.77,9575,9575,0,1836
45 to 54,974,2018-01-03,male,50,26.0,541,Starbucks to Majid,75 to 84 kg,Evening Ride,24.6,37.4,51.05,7476,7476,0,1019
35 to 44,644,2019-12-27,male,63,26.1,1219,S.Ubhur Alkurnaysh South Bound with detour,85 to 95 kg,تمرين الجمعة مع أبطال جدة سايكلست بقيادة المايسترو ابومهند,19.6,85.7,60.28,11051,11051,0,1326
25 to 34,228,2018-09-07,male,83,36.6,474,North Corniche,75 to 84 kg,Morning Ride,28.1,41.8,54.01,6916,6916,1,4879
25 to 34,464,2018-05-01,male,324,21.7,649,Starbucks to Majid,95 kg to 104 kg,Afternoon Ride,17.3,31.3,37.78,7876,7876,0,475
25 to 34,1310,2017-11-17,male,144,21.5,455,PRINCE SULTAN - ASSALAM TO FATIMA,75 to 84 kg,Night Ride,21.4,40.3,40.88,6883,6883,0,2810
55 to 64,972,2018-10-30,male,13,31.6,549,North Corniche,85 to 95 kg,Camel Circle ,20.4,37.4,51.57,9109,9109,0,5910
45 to 54,953,2018-02-10,male,29,28.0,883,Obhur North Short,95 kg to 104 kg,Morning Ride,25.7,38.5,107.83,15114,15114,1,1651
35 to 44,2085,2014-02-01,male,165,25.6,236,Headquarters Business Park,95 kg to 104 kg,جولة علي كرنيش جدة,22.5,40.7,13.7,2193,2193,0,7293
25 to 34,1858,2019-02-26,male,460,20.9,289,Headquarters Business Park,54 kg and under,Evening Ride,16.9,34.6,27.11,5784,5784,0,6726
45 to 54,682,2018-11-05,male,16,33.5,508,King Street side,75 to 84 kg,Morning Ride,33.3,44.6,42.75,4621,4621,0,2528
25 to 34,264,2019-11-06,male,64,28.6,1115,S.Ubhur Alkurnaysh South Bound with detour,85 to 95 kg,Evening Ride,30.7,41.4,38.31,4499,4499,1,1206
45 to 54,939,2018-02-11,male,16,31.9,189,Headquarters Business Park,65 to 74 kg,Evening Ride,20.1,46.4,41.77,7482,7482,0,7673
25 to 34,1458,2018-12-21,male,701,16.4,369,Headquarters Business Park,54 kg and under,Hosaam & hamad,15.1,38.2,11.98,2866,2866,0,6965
20 to 24,1684,2019-04-19,male,4,37.5,161,Headquarters Business Park,75 to 84 kg,Дневной велозаезд,37.5,64.1,51.14,4906,4906,0,6055
25 to 34,1402,2019-09-16,male,166,32.9,528,North Corniche,54 kg and under,Evening Ride,18.7,38.9,18.26,3509,3509,0,4962
35 to 44,831,2019-01-01,male,225,21.8,646,Starbucks to Majid,54 kg and under,Afternoon Ride,20.0,29.9,100.13,18003,18003,0,867
35 to 44,1336,2019-10-31,male,141,20.1,486,PRINCE SULTAN - ASSALAM TO FATIMA,65 to 74 kg,اول مره face with tears of joy beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes ,16.2,33.1,18.79,4170,4170,0,2974
25 to 34,530,2017-08-25,male,390,18.1,777,Starbucks to Majid,95 kg to 104 kg,Morning Ride,16.5,43.2,20.63,4488,4488,0,541
20 to 24,137,2019-12-11,male,11,27.7,1151,S.Ubhur Alkurnaysh South Bound with detour,54 kg and under,Evening Ride,25.4,42.5,50.31,7131,7131,0,1132
35 to 44,833,2018-11-29,male,489,9.1,667,Headquarters Business Park,54 kg and under,Night Ride,16.1,31.3,26.58,5939,5939,0,7615
20 to 24,1729,2019-04-12,male,156,16.9,357,Headquarters Business Park,54 kg and under,Night Ride,21.8,96.5,18.98,3139,3139,0,6207
25 to 34,240,2015-04-16,male,111,36.6,196,Oghor 2 SailsIsland,105 kg to 114 kg,Afternoon Ride,21.7,48.6,21.0,3492,3492,0,3390
35 to 44,887,2018-06-25,male,304,23.1,752,North Corniche,105 kg to 114 kg,Night Ride  Jeddah cyclist ,19.2,31.7,26.68,4996,4996,1,5659
35 to 44,1334,2016-07-15,male,129,22.6,433,PRINCE SULTAN - ASSALAM TO FATIMA,54 kg and under,Morning Ride,18.2,37.1,37.53,7442,7442,0,2962
35 to 44,716,2019-04-19,male,186,31.2,230,Oghor 2 SailsIsland,65 to 74 kg,Morning Ride,20.7,36.4,41.91,7290,7290,1,4155
20 to 24,1388,2017-04-24,male,124,18.6,385,Oghor 2 SailsIsland,55 to 64 kg,Evening Ride,18.0,86.0,19.58,3920,3920,0,3259
25 to 34,421,2017-03-15,male,315,27.6,629,North Corniche,115 kg and over,Evening Ride,20.3,37.8,21.0,3724,3724,0,5110
45 to 54,1021,2018-07-12,male,105,19.7,306,Headquarters Business Park,54 kg and under,Night Ride,18.0,34.9,18.09,3613,3613,0,7762
45 to 54,1002,2020-02-14,male,71,23.6,722,King Street side,115 kg and over,Morning Ride,22.4,32.4,41.42,6653,6653,0,2583
25 to 34,1312,2018-12-28,male,147,20.5,477,PRINCE SULTAN - ASSALAM TO FATIMA,65 to 74 kg,Evening Ride,17.2,36.4,50.85,10620,10620,0,2813
20 to 24,1369,2018-03-09,male,55,24.8,243,Headquarters Business Park,54 kg and under,Evening Ride,13.2,37.8,23.81,6472,6472,0,6106
25 to 34,534,2019-05-24,male,554,19.4,311,Headquarters Business Park,75 to 84 kg,Night Ride,18.4,27.0,30.02,5869,5869,0,6820
35 to 44,850,2018-04-16,male,61,36.4,477,North Corniche,65 to 74 kg,Night Ride,30.6,72.0,46.93,5529,5529,0,5416
25 to 34,569,2018-02-03,male,256,30.8,233,Oghor 2 SailsIsland,75 to 84 kg,Morning Ride,19.6,45.0,43.59,8008,8008,0,3586
25 to 34,1864,2019-01-29,male,491,20.5,295,Headquarters Business Park,54 kg and under,Night Ride,17.3,34.6,11.0,2289,2289,0,6760
25 to 34,409,2020-03-10,male,355,25.8,674,North Corniche,54 kg and under,Evening Ride,16.3,56.9,80.08,17682,17682,0,5151
25 to 34,486,2014-09-13,male,434,21.4,282,Headquarters Business Park,75 to 84 kg,13/9/2014,21.8,32.0,21.81,3598,3598,0,6698
19 and under,13,2019-10-09,male,5,30.6,319,PRINCE SULTAN - ASSALAM TO FATIMA,65 to 74 kg,Evening Ride,31.3,54.7,61.04,7020,7020,1,2630
35 to 44,452,2018-09-12,male,83,28.9,209,Headquarters Business Park,75 to 84 kg,Afternoon Ride,21.6,41.0,115.43,19229,19229,0,7210
25 to 34,347,2018-05-14,male,222,30.7,565,North Corniche,75 to 84 kg,Evening Ride,23.7,51.5,49.31,7483,7483,0,5017
55 to 64,1030,2014-08-27,male,1,37.5,375,Starbucks to Majid,95 kg to 104 kg,Morning Ride,25.9,67.7,33.37,4639,4639,0,1080
35 to 44,809,2015-02-21,male,314,24.9,288,Oghor 2 SailsIsland,105 kg to 114 kg,تمسيكة رائعة مع البرد . درجة الحرارة 18 ,22.0,33.5,22.44,3677,3677,0,4283
25 to 34,229,2019-02-13,male,104,31.3,543,King Street side,65 to 74 kg,Morning Ride,29.3,37.8,31.57,3880,3880,1,2085
35 to 44,885,2017-10-11,male,169,23.4,728,King Street side,54 kg and under,Evening Ride,21.7,35.6,38.83,6452,6452,0,2452
25 to 34,216,2018-07-25,male,41,36.5,467,King Street side,75 to 84 kg,Night Ride,31.9,45.4,35.24,3983,3983,1,2023
25 to 34,354,2016-08-05,male,403,23.8,730,North Corniche,75 to 84 kg,Morning Ride,19.5,42.8,36.03,6645,6645,0,5198
19 and under,1680,2019-10-22,female,12,5.8,1046,Headquarters Business Park,54 kg and under,Afternoon Ride,6.4,16.6,4.76,2688,2688,0,6048
25 to 34,219,2017-01-04,male,75,30.6,460,Starbucks to Majid,95 kg to 104 kg,Evening Ride,30.2,49.7,37.13,4426,4426,0,226
45 to 54,968,2015-03-21,male,44,27.3,515,Starbucks to Majid,65 to 74 kg,Morning Ride,26.6,51.5,42.01,5682,5682,0,1013
20 to 24,58,2018-12-02,male,7,40.5,420,King Street side,,Evening Ride,39.0,50.8,37.71,3480,3480,1,1929
35 to 44,822,2018-08-29,male,195,29.3,592,North Corniche,54 kg and under,Evening Ride,21.1,40.3,54.26,9253,9253,0,5552
45 to 54,975,2019-01-09,male,36,25.7,1238,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,اول تمرين بعد العودة,20.8,35.6,63.11,10926,10926,0,1404
25 to 34,469,2019-04-06,male,198,25.3,674,King Street side,85 to 95 kg,Morning Ride,23.5,36.0,33.86,5199,5199,0,2179
35 to 44,408,2019-03-24,male,55,30.7,458,Starbucks to Majid,75 to 84 kg,Evening Ride,13.5,44.3,30.11,8035,8035,0,697
20 to 24,51,2015-12-06,male,3,42.1,757,S.Ubhur Alkurnaysh South Bound with detour,65 to 74 kg,Time trial D1,37.7,48.6,23.52,2243,2243,0,1124
25 to 34,1488,2019-10-29,male,566,18.8,381,Oghor 2 SailsIsland,54 kg and under,Mousa,15.4,29.2,40.05,9371,9371,0,3895
25 to 34,200,2017-03-24,male,73,15.8,1724,Al Fardoos to shellfish round about,85 to 95 kg,Mezo,26.6,42.8,83.46,11313,11313,0,1778
25 to 34,275,2014-08-25,male,228,30.5,569,North Corniche,115 kg and over,Night Ride,24.0,45.7,25.3,3789,3789,0,5023
19 and under,1279,2019-05-22,male,9,27.1,360,PRINCE SULTAN - ASSALAM TO FATIMA,54 kg and under,Night Ride,16.6,97.6,49.01,10652,10652,0,2634
25 to 34,165,2019-04-27,male,156,34.3,209,Oghor 2 SailsIsland,85 to 95 kg,سباق تحدي شركة جيلي,34.7,51.8,40.08,4158,4158,1,3489
45 to 54,989,2019-08-14,male,68,23.3,605,Starbucks to Majid,65 to 74 kg,Morning Ride,21.8,37.8,51.7,8555,8555,0,1037
25 to 34,470,2016-02-10,male,274,17.1,993,King Street side,115 kg and over,Night Ride,16.5,43.6,30.99,6767,6767,0,2256
25 to 34,534,2018-10-24,male,470,19.9,874,North Corniche,75 to 84 kg,Afternoon Ride,17.4,27.0,21.49,4446,4446,0,5266
45 to 54,2221,2018-02-21,male,113,18.8,321,Headquarters Business Park,85 to 95 kg,Night Ride,17.9,23.4,13.45,2708,2708,1,7770
25 to 34,304,2017-02-22,male,162,26.7,527,Starbucks to Majid,,Evening Ride,27.6,58.7,14.12,1843,1843,0,313
20 to 24,60,2015-06-17,male,7,32.0,305,PRINCE SULTAN - ASSALAM TO FATIMA,85 to 95 kg,Evening Ride,20.9,46.4,74.14,12761,12761,0,2649
25 to 34,1217,2018-07-27,female,5,27.1,629,King Street side,65 to 74 kg,Morning Ride,25.1,36.0,40.64,5828,5828,1,2281
25 to 34,72,2018-09-15,male,103,29.2,207,Headquarters Business Park,54 kg and under,Morning Ride,24.4,41.8,22.41,3312,3312,0,6367
45 to 54,955,2019-05-15,male,35,30.4,560,King Street side,95 kg to 104 kg,Mixed rides- w/ Jeddah Cyclists cloud ,27.4,43.6,50.76,6666,6666,1,2547
25 to 34,402,2018-09-26,male,177,26.7,637,King Street side,,Evening Ride,24.7,47.5,53.44,7804,7804,0,2159
20 to 24,58,2018-12-02,male,1,47.8,150,Oghor 2 SailsIsland,,Evening Ride,39.0,50.8,37.71,3480,3480,1,3137
25 to 34,257,2018-04-03,male,278,24.2,249,Headquarters Business Park,85 to 95 kg,Night Ride,21.7,41.0,28.54,4733,4733,1,6542
25 to 34,1515,2019-02-03,female,22,14.7,488,Oghor 2 SailsIsland,54 kg and under,New track 1,15.4,22.0,10.35,2414,2414,0,3967
75+,1049,2019-11-20,male,1,39.9,798,S.Ubhur Alkurnaysh South Bound with detour,85 to 95 kg,Nov.20th 2019,21.0,48.6,72.14,12373,12373,0,1428
35 to 44,1222,2019-01-26,male,21,34.7,174,Headquarters Business Park,75 to 84 kg,Jeddah cycle challenge 2019,31.6,43.6,20.95,2385,2385,0,7147
45 to 54,676,2018-10-22,male,8,37.2,458,King Street side,85 to 95 kg,Evening Ride,27.1,42.5,25.06,3329,3329,1,2520
25 to 34,501,2017-02-27,male,262,29.3,592,North Corniche,115 kg and over,Quick and safe with Jeddah cyclist person biking: medium-dark skin tone  red heart ,17.5,45.0,18.94,3892,3892,0,5058
45 to 54,999,2020-01-10,male,69,30.1,577,North Corniche,54 kg and under,تمرين خفيف لطيف red heart fire ,22.2,37.1,18.38,2983,2983,0,5818
25 to 34,437,2019-01-21,male,296,22.7,620,Starbucks to Majid,95 kg to 104 kg,Evening Ride,22.2,36.7,50.35,8181,8181,0,448
25 to 34,1058,2019-11-22,male,168,32.8,529,North Corniche,,Usual friday ride Malik to jeddah water front,23.6,46.8,48.96,7457,7457,0,4965
35 to 44,672,2014-11-01,male,21,36.1,883,S.Ubhur Alkurnaysh South Bound with detour,95 kg to 104 kg,"11/01/2014 Jeddah, Makkah Province, Saudi Arabia",28.9,44.6,71.19,8869,8869,1,1284
25 to 34,401,2015-09-07,male,399,26.4,272,Oghor 2 SailsIsland,105 kg to 114 kg,Evening Ride,23.1,52.2,27.13,4222,4222,0,3727
25 to 34,352,2015-02-23,male,210,25.4,554,Starbucks to Majid,65 to 74 kg,تمرين جدة سايكليست ,23.0,63.4,29.76,4666,4666,0,361
25 to 34,186,2017-03-06,male,77,30.6,197,Headquarters Business Park,54 kg and under,Evening Ride,32.9,55.4,43.96,4811,4811,1,6341
25 to 34,159,2019-04-27,male,9,40.0,151,Headquarters Business Park,75 to 84 kg,Geely Jeddah 50k race (Garmin malfunctioned),36.6,53.3,34.72,3413,3413,0,6273
35 to 44,1237,2019-06-12,male,177,22.2,766,King Street side,,Evening Ride,20.5,99.7,50.43,8874,8874,0,2460
19 and under,23,2019-05-15,male,23,25.7,547,Starbucks to Majid,55 to 64 kg,اول طيحة رايد winking face with tongue ,27.1,42.8,47.22,6283,6283,0,22
25 to 34,234,2018-10-10,male,85,32.9,518,King Street side,65 to 74 kg,Evening Ride,27.2,42.5,45.92,6077,6077,0,2066
45 to 54,1097,2017-11-17,male,31,27.4,903,Obhur North Short,54 kg and under,Morning Ride,27.3,33.5,70.24,9248,9248,1,1653
35 to 44,684,2016-12-02,male,60,30.3,465,Starbucks to Majid,95 kg to 104 kg,Morning Ride,23.3,42.1,28.55,4414,4414,0,702
35 to 44,1337,2019-10-25,male,341,19.9,873,North Corniche,,Morning Ride,16.7,24.5,31.75,6845,6845,0,5697
25 to 34,206,2016-07-27,male,77,29.8,328,PRINCE SULTAN - ASSALAM TO FATIMA,65 to 74 kg,Evening Ride,20.2,49.0,59.61,10639,10639,0,2743
45 to 54,945,2020-03-30,male,8,39.3,811,S.Ubhur Alkurnaysh South Bound with detour,54 kg and under,Morning Ride,36.4,49.7,37.02,3663,3663,1,1376
25 to 34,365,2015-03-27,male,133,27.7,218,Headquarters Business Park,75 to 84 kg,Jeddah cyclists - hygiene bike,21.1,43.2,43.17,7362,7362,0,6399
35 to 44,1242,2018-01-12,male,185,21.0,812,King Street side,95 kg to 104 kg,Friday kamel ride,19.2,31.7,51.27,9594,9594,0,2468
25 to 34,547,2016-08-29,male,426,25.3,284,Oghor 2 SailsIsland,105 kg to 114 kg,Night Ride,18.9,46.1,20.82,3972,3972,0,3754
35 to 44,694,2017-10-11,male,42,34.6,492,King Street side,85 to 95 kg,Evening Ride,29.1,41.0,32.72,4044,4044,1,2325
25 to 34,449,2015-11-06,male,309,22.3,632,Starbucks to Majid,65 to 74 kg,Morning Ridتمرين رائع من ملاهي عطا الله الي ملعب الجوهره والعوده في 51كيلو,21.5,37.8,51.25,8600,8600,0,460
35 to 44,831,2018-12-14,male,212,29.9,240,Oghor 2 SailsIsland,54 kg and under,Morning Ride,19.1,34.2,49.79,9381,9381,0,4183
35 to 44,724,2019-09-06,male,111,34.8,206,Oghor 2 SailsIsland,55 to 64 kg,Morning Ride,27.2,38.9,95.08,12565,12565,1,4082
25 to 34,91,2020-01-03,male,29,30.7,806,Obhur North Short,75 to 84 kg,Morning Ride,29.6,37.4,81.56,9918,9918,1,1486
25 to 34,579,2018-07-08,male,348,28.0,256,Oghor 2 SailsIsland,54 kg and under,Night Ride,22.1,38.9,32.35,5276,5276,0,3678
25 to 34,274,2019-11-27,male,131,28.2,499,Starbucks to Majid,54 kg and under,Evening Ride,27.5,39.2,42.3,5543,5543,0,282
45 to 54,1604,2019-09-20,male,144,18.2,394,Oghor 2 SailsIsland,54 kg and under,Evening Ride,19.2,34.6,27.9,5228,5228,0,4558
35 to 44,871,2018-06-06,male,337,23.6,304,Oghor 2 SailsIsland,55 to 64 kg,Night Ride,16.8,28.4,19.03,4080,4080,1,4308
25 to 34,263,2019-03-27,male,67,37.7,461,North Corniche,65 to 74 kg,Evening Ride,28.3,46.4,53.12,6754,6754,0,4865
25 to 34,223,2015-02-25,male,209,32.3,222,Oghor 2 SailsIsland,55 to 64 kg,تمرين Jeddah Cyclist نار ياحبيبي نار,26.5,45.7,70.89,9648,9648,0,3537
35 to 44,729,2017-02-20,male,176,30.1,577,North Corniche,75 to 84 kg,تمرين مع جدة سايكلست,22.4,43.9,26.44,4249,4249,0,5531
45 to 54,995,2018-04-24,male,69,23.8,715,King Street side,54 kg and under,Night Ride,19.9,50.0,54.45,9852,9852,0,2581
35 to 44,927,2019-11-15,female,3,22.1,1441,S.Ubhur Alkurnaysh South Bound with detour,65 to 74 kg,Afternoon Ride,15.5,36.4,86.44,20098,20098,0,1368
25 to 34,625,2019-04-08,female,23,19.3,312,Headquarters Business Park,,With SoSo ans Al Captain rose ,16.7,34.6,35.0,7549,7549,0,7092
35 to 44,824,2019-09-16,male,189,29.6,586,North Corniche,,Evening Ride,23.2,36.4,50.5,7821,7821,0,5544
25 to 34,585,2019-06-27,male,446,13.7,1028,Starbucks to Majid,65 to 74 kg,Evening Ride,18.9,35.6,54.57,10408,10408,0,597
35 to 44,444,2014-03-10,male,382,21.1,340,Oghor 2 SailsIsland,85 to 95 kg,دراجتي ,18.5,43.6,17.57,3415,3415,0,4351
25 to 34,220,2019-03-22,male,127,27.8,217,Headquarters Business Park,65 to 74 kg,Morning Ride,26.1,42.8,100.39,13847,13847,1,6395
20 to 24,111,2019-01-22,male,80,23.9,725,North Corniche,115 kg and over,4th workout alone ,21.4,37.1,30.58,5147,5147,0,4758
45 to 54,983,2018-03-16,male,147,10.2,593,Headquarters Business Park,85 to 95 kg,Night Ride,17.0,108.4,31.24,6603,6603,0,7804
35 to 44,2114,2019-05-15,male,278,22.7,266,Headquarters Business Park,,Afternoon Ride,22.0,32.8,7.01,1149,1149,0,7405
25 to 34,1421,2019-03-04,male,336,26.7,650,North Corniche,54 kg and under,دراج جدة الاثنين,18.8,32.0,19.97,3824,3824,0,5132
25 to 34,462,2020-01-20,male,156,34.3,209,Oghor 2 SailsIsland,54 kg and under,Evening Ride,25.2,43.6,22.52,3224,3224,0,3468
25 to 34,205,2017-03-29,male,234,30.2,574,North Corniche,115 kg and over,Night Ride,23.2,34.9,19.27,2987,2987,0,5030
45 to 54,1090,2020-02-01,male,6,40.2,243,PRINCE SULTAN - ASSALAM TO FATIMA,65 to 74 kg,Saturday ride,23.8,60.8,59.03,8931,8931,0,2990
25 to 34,1061,2018-12-07,male,732,14.9,404,Headquarters Business Park,65 to 74 kg,Night Ride,14.1,42.5,15.67,4010,4010,1,6996
45 to 54,959,2019-09-30,male,52,25.3,239,Headquarters Business Park,75 to 84 kg,Evening Ride,20.2,41.8,31.27,5585,5585,0,7709
45 to 54,953,2018-03-22,male,32,31.1,548,King Street side,95 kg to 104 kg,Morning Ride,29.7,37.1,47.98,5808,5808,1,2544
45 to 54,976,2018-11-03,male,100,25.4,682,North Corniche,54 kg and under,Lunch Ride,21.1,46.1,55.35,9428,9428,0,5850
25 to 34,1704,2019-10-23,male,394,22.2,272,Headquarters Business Park,54 kg and under,Afternoon Ride,17.7,34.2,19.84,4032,4032,0,6662
35 to 44,1083,2019-03-29,male,94,35.5,202,Oghor 2 SailsIsland,,Morning Ride,18.1,40.7,55.33,10982,10982,0,4066
35 to 44,1518,2020-02-13,male,19,43.7,164,Oghor 2 SailsIsland,75 to 84 kg,Exploring chaotic Jeddah (by car),22.5,92.2,86.3,13779,13779,0,3988
35 to 44,2167,2018-10-11,male,466,14.3,423,Headquarters Business Park,54 kg and under,Evening Ride,14.8,73.8,35.26,8565,8565,0,7592
35 to 44,671,2016-10-26,male,43,32.2,437,Starbucks to Majid,75 to 84 kg,Evening Ride,21.8,45.4,25.21,4166,4166,0,685
25 to 34,455,2018-04-16,male,225,30.6,567,North Corniche,54 kg and under,Evening Ride,23.1,49.7,51.38,8020,8020,0,5021
20 to 24,1381,2018-01-04,male,108,22.2,323,Oghor 2 SailsIsland,95 kg to 104 kg,أنا وعصام,16.6,91.4,61.99,13424,13424,0,3243
20 to 24,82,2018-02-23,male,41,26.4,229,Headquarters Business Park,54 kg and under,Morning Ride,25.9,37.4,59.13,8209,8209,0,6092
35 to 44,718,2018-11-19,male,114,34.7,207,Oghor 2 SailsIsland,54 kg and under,Evening Ride,26.4,45.7,51.07,6956,6956,0,4083
35 to 44,1077,2018-09-03,male,4,49.9,196,PRINCE SULTAN - ASSALAM TO FATIMA,65 to 74 kg,Evening Ride,17.3,59.0,28.73,5985,5985,0,2837
25 to 34,1425,2018-11-19,male,366,27.6,260,Oghor 2 SailsIsland,,Evening Ride,18.4,42.5,28.09,5504,5504,0,3697
25 to 34,554,2019-10-18,male,144,33.6,516,North Corniche,54 kg and under,Morning Ride,27.7,49.3,55.05,7164,7164,1,4941
25 to 34,1209,2018-02-14,male,631,18.0,335,Headquarters Business Park,54 kg and under,Up to north,15.1,30.6,30.3,7219,7219,1,6897
35 to 44,759,2020-02-17,male,71,37.4,192,Oghor 2 SailsIsland,54 kg and under,Evening Ride,23.4,44.3,51.45,7911,7911,0,4040
25 to 34,72,2018-10-12,male,249,20.6,826,King Street side,54 kg and under,Afternoon Ride,22.1,46.1,96.92,15753,15753,0,2230
35 to 44,1146,2018-05-15,female,6,27.4,634,North Corniche,55 to 64 kg,Morning Ride,21.3,33.1,51.06,8615,8615,1,5744
35 to 44,355,2018-09-21,male,37,34.8,489,King Street side,85 to 95 kg,Afternoon Ride,32.5,56.9,72.87,8072,8072,0,2320
25 to 34,227,2018-08-31,male,83,36.6,474,North Corniche,75 to 84 kg,Afternoon Ride,24.8,45.7,60.42,8784,8784,0,4878
25 to 34,510,2018-01-03,male,370,19.4,727,Starbucks to Majid,54 kg and under,Evening Ride,17.3,44.3,28.03,5839,5839,0,521
25 to 34,511,2019-04-03,male,371,19.3,730,Starbucks to Majid,65 to 74 kg,Night Ride,21.3,34.6,35.17,5958,5958,0,522
20 to 24,121,2017-11-29,male,94,22.1,273,Headquarters Business Park,75 to 84 kg,Night Ride,20.0,33.1,23.58,4255,4255,1,6145
35 to 44,915,2019-01-26,male,29,33.5,180,Headquarters Business Park,75 to 84 kg,Morning Ride,30.9,40.7,11.74,1369,1369,1,7156
25 to 34,235,2019-11-10,male,67,31.4,192,Headquarters Business Park,54 kg and under,Afternoon Ride,25.4,41.8,17.25,2444,2444,1,6332
19 and under,2,2019-01-26,male,1,44.4,136,Headquarters Business Park,65 to 74 kg,Morning Ride,37.6,52.2,21.79,2087,2087,0,5939
35 to 44,753,2019-01-25,male,138,25.9,543,Starbucks to Majid,54 kg and under,Afternoon Ride,23.7,31.7,34.94,5312,5312,0,780
20 to 24,1701,2018-11-21,male,104,21.1,286,Headquarters Business Park,54 kg and under,Evening Ride,15.9,36.7,30.32,6845,6845,0,6156
25 to 34,1508,2018-04-04,male,535,10.4,1674,North Corniche,54 kg and under,Evening Ride,15.3,28.1,21.85,5135,5135,0,5330
35 to 44,267,2019-04-27,male,9,42.8,329,Starbucks to Majid,65 to 74 kg,Morning Ride,38.0,51.1,35.31,3350,3350,1,651
25 to 34,471,2016-12-23,male,486,20.5,294,Headquarters Business Park,75 to 84 kg,New record for me ,14.2,37.1,28.13,7137,7137,0,6751
25 to 34,415,2019-01-18,male,215,24.2,702,King Street side,85 to 95 kg,تحدي ال ١٠٠ كيلووو .... ,23.4,75.2,102.79,15837,15837,0,2196
25 to 34,360,2018-10-19,male,218,25.1,560,Starbucks to Majid,75 to 84 kg,Morning Ride,23.7,38.2,48.84,7412,7412,0,369
45 to 54,2240,2019-09-01,female,8,17.1,352,Headquarters Business Park,54 kg and under,Afternoon Ride,17.4,34.9,16.35,3383,3383,0,7816
35 to 44,763,2016-10-24,male,245,28.6,251,Oghor 2 SailsIsland,95 kg to 104 kg,Evening Ride,21.4,54.4,21.27,3581,3581,0,4214
25 to 34,367,2018-11-28,male,223,25.0,564,Starbucks to Majid,75 to 84 kg,Evening Ride,27.4,41.0,77.76,10232,10232,0,377
35 to 44,888,2019-12-09,male,176,30.1,577,North Corniche,,Night Ride,21.0,50.0,48.33,8299,8299,0,5532
25 to 34,378,2016-09-17,male,235,22.5,758,King Street side,75 to 84 kg,تمرين صباحي بحري وﻻ اروع,25.0,40.7,40.01,5772,5772,0,2216
19 and under,1356,2018-01-22,male,54,20.4,296,Headquarters Business Park,54 kg and under,22/1/2018,19.7,35.6,22.07,4031,4031,0,5992
35 to 44,746,2018-05-11,male,73,9.1,2709,Obhur North Short,65 to 74 kg,123 km Ride smiling face with heart-eyes man biking 1st place medal ,22.7,47.2,123.09,19550,19550,0,1613
25 to 34,2025,2018-12-15,male,793,6.4,945,Headquarters Business Park,54 kg and under,Evening Ride,16.3,33.5,15.96,3528,3528,0,7057
25 to 34,1415,2018-11-10,male,298,29.4,244,Oghor 2 SailsIsland,54 kg and under,Lunch Ride,25.6,37.8,14.44,2030,2030,0,3632
35 to 44,923,2019-07-26,female,2,22.6,622,Starbucks to Majid,65 to 74 kg,Morning Ride,22.6,29.9,40.14,6402,6402,1,962
25 to 34,614,2019-02-12,female,8,24.6,245,Headquarters Business Park,55 to 64 kg,Evening Ride,23.0,31.0,20.01,3126,3126,1,7077
35 to 44,2108,2018-12-04,male,247,23.4,258,Headquarters Business Park,105 kg to 114 kg,Night Ride,18.8,36.7,18.52,3550,3550,0,7376
